,title,href,company,compensation1,compensation2,money_type,source
0,Frontend-разработчик (middle),https://sergievposad.hh.ru/vacancy/31363565?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Zoon.ru,120000,230000,руб,hh.ru
1,Frontend-разработчик,https://sergievposad.hh.ru/vacancy/33850021?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Zoon.ru,,,,hh.ru
2,Инженер-программист ( front-end developer ) junior/middle,https://sergievposad.hh.ru/vacancy/32697772?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000,140000,руб,hh.ru
3,Программист 1 С,https://sergievposad.hh.ru/vacancy/33814598?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Энергосистемы и Технологии,120000,140000,руб,hh.ru
4,.NET C# Разработчик / .NET C# Developer Norway,https://sergievposad.hh.ru/vacancy/33940776?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО PaleBlue,200000,300000,руб,hh.ru
5,Программист,https://sergievposad.hh.ru/vacancy/34295871?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ЗАО МИРРА - М,60000,80000,руб,hh.ru
6,Программист 1C,https://sergievposad.hh.ru/vacancy/34296099?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Руссо Упак,,120000,руб,hh.ru
7,Программист SQL,https://sergievposad.hh.ru/vacancy/33932334?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Гарант,90000,120000,руб,hh.ru
8,Инженер-разработчик (программист микроконтроллеров),https://sergievposad.hh.ru/vacancy/33924627?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Парус электро,100000,,руб,hh.ru
9,Программист-стажер,https://sergievposad.hh.ru/vacancy/31533142?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Авиком Бизнес Технологии,,,,hh.ru
10,Программист С++,https://sergievposad.hh.ru/vacancy/33514106?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, МСК БЛ ГРУПП,,150000,руб,hh.ru
11,Младший программист 1С,https://sergievposad.hh.ru/vacancy/34294551?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Ювелирная сеть Залог Успеха,80000,,руб,hh.ru
12,ГИС программист (back),https://sergievposad.hh.ru/vacancy/33897090?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, РеИнформ Инт.,140000,,руб,hh.ru
13,Backend программист,https://sergievposad.hh.ru/vacancy/34296391?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, CDS Company,40000,150000,руб,hh.ru
14,Web-разработчик full stack,https://sergievposad.hh.ru/vacancy/34297619?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО АСТ,150000,200000,руб,hh.ru
15,Программист С++,https://sergievposad.hh.ru/vacancy/34260245?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Финстарлабс,100000,130000,руб,hh.ru
16,Программист С++,https://sergievposad.hh.ru/vacancy/33483197?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ЮРИОН,90000,110000,руб,hh.ru
17,Backend разработчик (.NET),https://sergievposad.hh.ru/vacancy/34099140?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," АйТи Гео, ООО (IT GEO)",150000,170000,руб,hh.ru
18,Инженер-программист АСУ ТП (с опытом),https://sergievposad.hh.ru/vacancy/34296503?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ПАГ,65000,110000,руб,hh.ru
19,Программист 1С8,https://sergievposad.hh.ru/vacancy/34169648?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Вартон,100000,,руб,hh.ru
20,Front-end разработчик (Senior),https://sergievposad.hh.ru/vacancy/34202529?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Foundook,,250000,руб,hh.ru
21,ASP.NET Developer (MVC),https://sergievposad.hh.ru/vacancy/33744101?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Элемент 5,130000,,руб,hh.ru
22,Программист станков с ЧПУ,https://sergievposad.hh.ru/vacancy/34016761?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ТПК Аргус-НВ,60000,60000,руб,hh.ru
23,Программист-разработчик (SQL),https://sergievposad.hh.ru/vacancy/33838185?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Business Solutions Consulting,,120000,руб,hh.ru
24,Прикладной программист / разработчик SQL,https://sergievposad.hh.ru/vacancy/34185877?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Группа компаний Интерин,120000,150000,руб,hh.ru
25,Программист-аналитик VBA,https://sergievposad.hh.ru/vacancy/34094149?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ФинГрад,,100000,руб,hh.ru
26,Инженер-программист АСУ ТП (без опыта),https://sergievposad.hh.ru/vacancy/34296721?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ПАГ,37000,48000,руб,hh.ru
27,Разработчик C++ (Qt),https://sergievposad.hh.ru/vacancy/34160544?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Новотранс Актив,200000,230000,руб,hh.ru
28,Программист С++,https://sergievposad.hh.ru/vacancy/33737957?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Эверис, Представительство",120000,,руб,hh.ru
29,Front-end разработчик,https://sergievposad.hh.ru/vacancy/34104578?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Кредитные Системы,80000,150000,руб,hh.ru
30,Программист-стажер 1С,https://sergievposad.hh.ru/vacancy/33910347?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Инокспоинт Групп,30000,40000,руб,hh.ru
31,Ведущий разработчик .NET Core/C#,https://sergievposad.hh.ru/vacancy/34262772?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Катюша Ай Ти,180000,,руб,hh.ru
32,Программист,https://sergievposad.hh.ru/vacancy/33477540?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ДАНТЕКС ТРЕЙД,,,,hh.ru
33,Программист С++,https://sergievposad.hh.ru/vacancy/34083309?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ОАО НИИТКД,,200000,руб,hh.ru
34,Программист,https://sergievposad.hh.ru/vacancy/34249886?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Филиал «Юго-Восточный» ООО «Антей»,150000,200000,руб,hh.ru
35,Программист,https://sergievposad.hh.ru/vacancy/34263747?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ЗАО ТЕРМИКА,,,,hh.ru
36,Программист Delphi,https://sergievposad.hh.ru/vacancy/34103899?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО МЦ-Сервис Инжиниринг,110000,130000,руб,hh.ru
37,Angular Фронт-Энд Разработчик / Angular Front-End Developer Norway,https://sergievposad.hh.ru/vacancy/33940799?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО PaleBlue,200000,300000,руб,hh.ru
38,Программист,https://sergievposad.hh.ru/vacancy/34050005?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Эксид Консалтинг,150000,,руб,hh.ru
39,Программист-разработчик,https://sergievposad.hh.ru/vacancy/34167697?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Софтлоджик Рус,70000,100000,руб,hh.ru
40,Программист С#,https://sergievposad.hh.ru/vacancy/33109074?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Радиолайн,120000,150000,руб,hh.ru
41,Программист С#,https://sergievposad.hh.ru/vacancy/34083306?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ОАО НИИТКД,,200000,руб,hh.ru
42,Программист в Германию,https://sergievposad.hh.ru/vacancy/34239365?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО КА Семья успеха,2800,5000,eur,hh.ru
43,Программист 1C,https://sergievposad.hh.ru/vacancy/34270318?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Компания Альфа-Лаб,,,,hh.ru
44,Инженер-разработчик C#,https://sergievposad.hh.ru/vacancy/34007418?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Detego,150000,180000,руб,hh.ru
45,Backend разработчик (.NET),https://sergievposad.hh.ru/vacancy/34186789?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Эверис, Представительство",150000,260000,руб,hh.ru
46,Начинающий программист,https://sergievposad.hh.ru/vacancy/34104691?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Си-Эн-Эс,25000,45000,руб,hh.ru
47,Web-программист,https://sergievposad.hh.ru/vacancy/33904458?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Нияма, Сеть ресторанов",110000,,руб,hh.ru
48,Программист 1С (КА 1.1),https://sergievposad.hh.ru/vacancy/34188845?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Комплекс-Бар,150000,150000,руб,hh.ru
49,Программист 1С,https://sergievposad.hh.ru/vacancy/33918050?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, BRADEX,100000,150000,руб,hh.ru
50,Специалист отдела снабжения/программист,https://sergievposad.hh.ru/vacancy/34101611?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО Дедал-НВ,30000,40000,руб,hh.ru
51,Web разработчик C# / ASP.NET MVC,https://sergievposad.hh.ru/vacancy/34257209?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Лаборатория инноваций Амендо,130000,,руб,hh.ru
52,Web-программист/Разработчик,https://sergievposad.hh.ru/vacancy/34016597?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ГОЛДЕНСИМ,,,,hh.ru
53,Ведущий разработчик 1С,https://sergievposad.hh.ru/vacancy/33849251?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ПАО Газпром автоматизация,140000,170000,руб,hh.ru
54,Back-end программист PHP,https://sergievposad.hh.ru/vacancy/34265558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ИП ПризываНет.ру,100000,,руб,hh.ru
