,title,href,company,compensation1,compensation2,money_type,source
0,Программист С++/Qt,https://sergievposad.hh.ru/vacancy/31273030?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Cappasity Inc.,80000,,руб,hh.ru
1,Программист JS (WebVR/WebAR),https://sergievposad.hh.ru/vacancy/32117045?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Cappasity Inc.,100000,,руб,hh.ru
2,Frontend-разработчик,https://sergievposad.hh.ru/vacancy/33850021?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Zoon.ru,,,,hh.ru
3,Full Stack Web разработчик,https://sergievposad.hh.ru/vacancy/33851349?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Just Food,,,,hh.ru
4,Программист С++ (графика),https://sergievposad.hh.ru/vacancy/32543357?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Cappasity Inc.,80000,,руб,hh.ru
5,Программист iOS (Swift),https://sergievposad.hh.ru/vacancy/31399856?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Cappasity Inc.,80000,,руб,hh.ru
6,Программист Javascript (Node.js),https://sergievposad.hh.ru/vacancy/31273029?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Cappasity Inc.,120000,,руб,hh.ru
7,"Программист SQL, Visual Basic",https://sergievposad.hh.ru/vacancy/34266591?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Zara,,,,hh.ru
8,Fullstack Django React разработчик,https://sergievposad.hh.ru/vacancy/34251691?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Сольвейг,120000,180000,руб,hh.ru
9,Программист Android,https://sergievposad.hh.ru/vacancy/32379471?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Cappasity Inc.,100000,,руб,hh.ru
10,Разработчик приложений (С#),https://sergievposad.hh.ru/vacancy/34263361?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Робин,,,,hh.ru
11,Java разработчик,https://sergievposad.hh.ru/vacancy/32959066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Сбербанк для экспертов,,,,hh.ru
12,Android Developer,https://sergievposad.hh.ru/vacancy/34249095?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Агент Плюс,120000,,руб,hh.ru
13,Программист,https://sergievposad.hh.ru/vacancy/34050005?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Эксид Консалтинг,150000,,руб,hh.ru
14,Программист С#,https://sergievposad.hh.ru/vacancy/33109074?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Радиолайн,120000,150000,руб,hh.ru
15,Программист-стажер,https://sergievposad.hh.ru/vacancy/33782794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ALEXROVICH.RU,52000,,руб,hh.ru
16,Программист в Германию,https://sergievposad.hh.ru/vacancy/34239365?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО КА Семья успеха,2800,5000,eur,hh.ru
17,Программист,https://sergievposad.hh.ru/vacancy/33795867?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ЗАО МИРРА - М,60000,80000,руб,hh.ru
18,Прикладной программист (Front-end программист),https://sergievposad.hh.ru/vacancy/33973777?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, AERODISK,100000,150000,руб,hh.ru
19,Программист 1C 8.3,https://sergievposad.hh.ru/vacancy/33795207?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Алмаз-Антей управленческое консультирование,70000,160000,руб,hh.ru
20,Программист 1C,https://sergievposad.hh.ru/vacancy/33878225?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Акушерство.ru, Компания",150000,200000,руб,hh.ru
21,Программист-разработчик,https://sergievposad.hh.ru/vacancy/34067997?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Центр Митоинженерии МГУ им.М.В.Ломоносова,,140000,руб,hh.ru
22,PHP Программист (Стажёр),https://sergievposad.hh.ru/vacancy/33360495?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, QSOFT,,,,hh.ru
23,Web-программист,https://sergievposad.hh.ru/vacancy/34050191?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,"ЗАО Станкоинформзащита, НТЦ",80000,150000,руб,hh.ru
24,Младший программист 1С,https://sergievposad.hh.ru/vacancy/33885921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Инокспоинт Групп,80000,110000,руб,hh.ru
25,Программист Делфи,https://sergievposad.hh.ru/vacancy/34135305?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,"ЗАО Болид, НВП",90000,120000,руб,hh.ru
26,Программист-стажер,https://sergievposad.hh.ru/vacancy/31533142?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Авиком Бизнес Технологии,,,,hh.ru
27,Программист C++/Qt,https://sergievposad.hh.ru/vacancy/33886708?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," ЭВРИКА, Санкт-Петербург",90000,,руб,hh.ru
28,Программист 1C,https://sergievposad.hh.ru/vacancy/34045302?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ТОРГОВЫЙ ДОМ КЕРАМИКИ,160000,,руб,hh.ru
29,Программист С + +,https://sergievposad.hh.ru/vacancy/34039693?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Группа Компаний СПЕЦПРОДУКТ,75000,,руб,hh.ru
30,HTML-верстальщик / Front-end разработчик,https://sergievposad.hh.ru/vacancy/33889894?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,"ООО Vide Infra Group, г. Москва",80000,,руб,hh.ru
31,Веб-разработчик / Web developer,https://sergievposad.hh.ru/vacancy/34073415?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, FUSION CORE,120000,180000,руб,hh.ru
32,Программист-разработчик Microsoft DAX,https://sergievposad.hh.ru/vacancy/34237868?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Гарез и партнеры,200000,,руб,hh.ru
33,Программист Python (backend),https://sergievposad.hh.ru/vacancy/34247053?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Дефенс Групп,130000,,руб,hh.ru
34,.NET Core разработчик (senior),https://sergievposad.hh.ru/vacancy/33888515?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Артхаус софт,160000,250000,руб,hh.ru
35,Веб программист,https://sergievposad.hh.ru/vacancy/34075226?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ИнтернетСофт,80000,150000,руб,hh.ru
36,Программист Python,https://sergievposad.hh.ru/vacancy/34247032?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Дефенс Групп,100000,150000,руб,hh.ru
37,"Back-end программист (yii2, API)",https://sergievposad.hh.ru/vacancy/34287657?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, IM-business,50000,70000,руб,hh.ru
38,Программист 1 С,https://sergievposad.hh.ru/vacancy/33814598?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Энергосистемы и Технологии,120000,140000,руб,hh.ru
39,Программист C# .Net WPF Desktop,https://sergievposad.hh.ru/vacancy/33985052?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Аксель Телеметрия,120000,,руб,hh.ru
40,Инженер-программист ( front-end developer ) junior/middle,https://sergievposad.hh.ru/vacancy/32697772?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000,140000,руб,hh.ru
41,PHP-программист,https://sergievposad.hh.ru/vacancy/33784606?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Кредитные Системы,80000,150000,руб,hh.ru
42,.NET C# Разработчик / .NET C# Developer Norway,https://sergievposad.hh.ru/vacancy/33940776?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО PaleBlue,200000,300000,руб,hh.ru
43,Web-разработчик full stack,https://sergievposad.hh.ru/vacancy/33791667?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО АСТ,150000,200000,руб,hh.ru
44,Front-end разработчик,https://sergievposad.hh.ru/vacancy/34050274?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Лавтек,100000,,руб,hh.ru
45,Программист 1C MS SQL,https://sergievposad.hh.ru/vacancy/34039007?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Равенол Руссланд,100000,,руб,hh.ru
46,Full-stack JS разработчик,https://sergievposad.hh.ru/vacancy/33785976?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Спейспуш,150000,200000,руб,hh.ru
47,Программист С++ Senior,https://sergievposad.hh.ru/vacancy/33581894?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Айти Прайм,,500000,руб,hh.ru
48,Senior iOS Developer (Swift),https://sergievposad.hh.ru/vacancy/33980664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО СофтПро,300000,,руб,hh.ru
49,Junior javascript программист (frontend),https://sergievposad.hh.ru/vacancy/34042260?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Авентика,50000,70000,руб,hh.ru
50,Программист 1С,https://sergievposad.hh.ru/vacancy/33882381?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО АЙТИ ПАРТНЕР,,160000,руб,hh.ru
51,Инженер-программист АСУ ТП,https://sergievposad.hh.ru/vacancy/33786003?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ПАГ,65000,110000,руб,hh.ru
52,Senior/Middle Front-end разработчик,https://sergievposad.hh.ru/vacancy/33787664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО БОЛЬШАЯ ТРОЙКА,130000,250000,руб,hh.ru
53,Front-end разработчик,https://sergievposad.hh.ru/vacancy/33922908?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Just Food,120000,180000,руб,hh.ru
54,Программист в Германию,https://sergievposad.hh.ru/vacancy/33812932?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ИП Сметанин Владимир Анатольевич,2800,3800,eur,hh.ru
55,Программист 1С,https://sergievposad.hh.ru/vacancy/34028424?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Finex International, Inc.",120000,180000,руб,hh.ru
56,Back-end разработчик,https://sergievposad.hh.ru/vacancy/34050320?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Лавтек,150000,,руб,hh.ru
57,Программист С++,https://sergievposad.hh.ru/vacancy/33988201?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Paradigm Geophysical,,,,hh.ru
58,"Fullstack программист (JavaScript, PostgreSQL)",https://sergievposad.hh.ru/vacancy/34243731?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ПроНетКом,160000,,руб,hh.ru
59,Инженер-программист АСУ ТП,https://sergievposad.hh.ru/vacancy/34239437?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО НПФ Мехатроникс,80000,,руб,hh.ru
60,Java разработчик / программист (developer),https://sergievposad.hh.ru/vacancy/33785635?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО FundCount,,200000,руб,hh.ru
61,Программист-разработчик,https://sergievposad.hh.ru/vacancy/34046096?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ФГАУ Российский фонд технологического развития,,,,hh.ru
62,"Программист Qt, C++",https://sergievposad.hh.ru/vacancy/34149249?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ИнтернетСофт,80000,150000,руб,hh.ru
63,Веб-разработчик / WEB-программист (Создание сайтов),https://sergievposad.hh.ru/vacancy/34239402?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Креарт,40000,70000,руб,hh.ru
64,Backend Developer (Symfony 4),https://sergievposad.hh.ru/vacancy/33970529?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, СуперЦРМ,120000,170000,руб,hh.ru
65,Инженер-программист,https://sergievposad.hh.ru/vacancy/34175935?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Инжиниринговая Компания Видеоаналитика,80000,150000,руб,hh.ru
66,"Ведущий разработчик/разработчик C++/Qt (GUI Team, VMS)",https://sergievposad.hh.ru/vacancy/28163901?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, NetworkOptix,4000,,usd,hh.ru
67,Программист / Консультант 1С,https://sergievposad.hh.ru/vacancy/33609257?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Созидание и Развитие, Аудиторско-консалтинговая группа",90000,110000,руб,hh.ru
68,Программист 1С,https://sergievposad.hh.ru/vacancy/33980594?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ЦОМ МОСТ-1,150000,200000,руб,hh.ru
69,Junior программист C#,https://sergievposad.hh.ru/vacancy/34032063?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, НЕОЛАНТ,,50000,руб,hh.ru
70,Стажёр-программист JavaScript,https://sergievposad.hh.ru/vacancy/34103911?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Zecurion,25000,40000,руб,hh.ru
71,Программист PHP,https://sergievposad.hh.ru/vacancy/33982017?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Легис безопасность,100000,120000,руб,hh.ru
72,Программист C#/ .NET,https://sergievposad.hh.ru/vacancy/25827004?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Syntellect (Синтеллект),80000,150000,руб,hh.ru
73,Swift разработчик,https://sergievposad.hh.ru/vacancy/31290559?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО Мегаполис,120000,200000,руб,hh.ru
74,Программист-разработчик,https://sergievposad.hh.ru/vacancy/33989232?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, DIS Group,,,,hh.ru
75,Ведущий разработчик T-SQL,https://sergievposad.hh.ru/vacancy/33423344?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Глобал Консалтинг Групп,120000,150000,руб,hh.ru
76,Аналитик-программист,https://sergievposad.hh.ru/vacancy/34046420?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ФГАУ Российский фонд технологического развития,70000,70000,руб,hh.ru
77,Программист 1С,https://sergievposad.hh.ru/vacancy/34140367?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Дортрансстрой,100000,150000,руб,hh.ru
78,Программист С++,https://sergievposad.hh.ru/vacancy/33466290?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Агентство КИТ Консалт,,100000,руб,hh.ru
79,Программист Python,https://sergievposad.hh.ru/vacancy/33887758?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," ЭВРИКА, Санкт-Петербург",80000,150000,руб,hh.ru
80,Программист SQL (разработчик отчетов),https://sergievposad.hh.ru/vacancy/34072064?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Смарт Дельта Системс,70000,100000,руб,hh.ru
81,.NET Developer,https://sergievposad.hh.ru/vacancy/34062376?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Quipu GmbH,130000,,руб,hh.ru
82,Программист 1C8.3,https://sergievposad.hh.ru/vacancy/33329473?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Аренда Авто,,,,hh.ru
83,Программист 1C,https://sergievposad.hh.ru/vacancy/34032304?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Николь,,200000,руб,hh.ru
84,Программист 1С,https://sergievposad.hh.ru/vacancy/33783573?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ОБЩЕСТРОЙСТАНДАРТ,130000,150000,руб,hh.ru
85,Разработчик-аналитик BI (SSRS),https://sergievposad.hh.ru/vacancy/34046121?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ФГАУ Российский фонд технологического развития,160000,,руб,hh.ru
86,Программист встраиваемых систем,https://sergievposad.hh.ru/vacancy/33849970?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО АНТ-Эксперт,170000,,руб,hh.ru
87,Программист-стажёр 1С-Битрикс,https://sergievposad.hh.ru/vacancy/34239797?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Маркетинговое агентство «Victorious»,30000,60000,руб,hh.ru
88,Бэкенд-разработчик (Ruby on Rails),https://sergievposad.hh.ru/vacancy/31712815?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, FunBox,120000,,руб,hh.ru
89,Программист 1С,https://sergievposad.hh.ru/vacancy/34237134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Торговая Компания ЛаВИНА.,120000,,руб,hh.ru
90,Программист 1C,https://sergievposad.hh.ru/vacancy/34279474?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ОАО Свобода,120000,120000,руб,hh.ru
91,Программист (classic asp),https://sergievposad.hh.ru/vacancy/33867446?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, JCat.ru,,70000,руб,hh.ru
92,Программист (classic asp),https://sergievposad.hh.ru/vacancy/33867453?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, JCat.ru,,70000,руб,hh.ru
93,Программист C++ / Разработчик кластерных решений,https://sergievposad.hh.ru/vacancy/33936151?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," Megaputer Intelligence, Компания",130000,,руб,hh.ru
94,Программист Junior / Middle Java Developer,https://sergievposad.hh.ru/vacancy/34238991?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Центр Смис Базис,80000,,руб,hh.ru
95,Программист 1С,https://sergievposad.hh.ru/vacancy/34048741?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Leo Ventoni,120000,,руб,hh.ru
