,title,href,company,compensation1,compensation2,money_type,source
0,Программист МИС,https://www.superjob.ru/vakansii/programmist-mis-32693897.html,«Группа ГУТА»,,,,superjob.ru
1,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32174069.html,СтройТерминал Центр Красок,100000,170000,руб,superjob.ru
2,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32859201.html,СТОЛИЧКИ,110000,,руб,superjob.ru
3,Сервисный инженер 1С / Программист 1С,https://www.superjob.ru/vakansii/servisnyj-inzhener-1s-32859018.html,Рустехпром,80000,100000,руб,superjob.ru
4,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32113329.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)",,,,superjob.ru
5,Программист-Разработчик Битрикс24 и Веб-ресурсов,https://www.superjob.ru/vakansii/programmist-razrabotchik-bitriks24-i-veb-resursov-32559552.html,We R.Signs/WRS,100000,120000,руб,superjob.ru
6,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32133167.html,ОптиКом,,,,superjob.ru
7,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-27469380.html,7ЦВЕТОВ и 7ЦВЕТОВ Декор,130000,,руб,superjob.ru
8,Программист 1C,https://www.superjob.ru/vakansii/programmist-1c-32119655.html,КурьерСервисЭкспресс,100000,200000,руб,superjob.ru
9,Программист C#,https://www.superjob.ru/vakansii/programmist-c-30558941.html,Сеть медицинских клиник «ИММА» («IMMA»),160000,,руб,superjob.ru
10,Программист-аналитик 1С,https://www.superjob.ru/vakansii/programmist-analitik-1s-32585359.html,Кадровый Центр на Сокольнической Площади,76000,,руб,superjob.ru
11,Программист ABAP (специалист по разработке программ и интерфейсов),https://www.superjob.ru/vakansii/programmist-abap-32757534.html,Группа компаний СНС,200000,,руб,superjob.ru
12,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32032636.html,V Group,,,,superjob.ru
13,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32373763.html,Торговый дом ХОЛОД,,,,superjob.ru
14,Ведущий программист 1С,https://www.superjob.ru/vakansii/veduschij-programmist-1s-32532666.html,ГазАртСтрой,180000,,руб,superjob.ru
15,JavaScript (веб) программист,https://www.superjob.ru/vakansii/javascript-32803494.html,Стаффмикс,100000,110000,руб,superjob.ru
16,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32802866.html,ПРОДУКТЫ ЕРМОЛИНО,,,,superjob.ru
17,Технолог-программист ЧПУ,https://www.superjob.ru/vakansii/tehnolog-programmist-chpu-32854763.html,Экспресс,80000,91000,руб,superjob.ru
18,"Web-программист, Web-разработчик",https://www.superjob.ru/vakansii/web-programmist-32672311.html,АСТ,150000,200000,руб,superjob.ru
19,Электронщик-программист ПЛК,https://www.superjob.ru/vakansii/elektronschik-programmist-plk-31976254.html,Вебер Комеханикс,,,,superjob.ru
20,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-31857482.html,"""Концерн ""Калашников""",,,,superjob.ru
21,"Специалист по телемедицинским технологиям (инженер, программист)",https://www.superjob.ru/vakansii/specialist-po-telemedicinskim-tehnologiyam-32444843.html,НИИОЗММ ДЗМ,,,,superjob.ru
22,Программист PHP (релокация на о. Бали),https://www.superjob.ru/vakansii/programmist-php-32517185.html,Business connection,100000,250000,руб,superjob.ru
23,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32650148.html,УК Первая нерудная компания,,,,superjob.ru
24,Программист C/С++,https://www.superjob.ru/vakansii/programmist-c-32118024.html,НПП Гарант Сервис,120000,,руб,superjob.ru
25,PHP-программист,https://www.superjob.ru/vakansii/php-programmist-32648848.html,Рустехпром,80000,,руб,superjob.ru
26,Программист станка с ЧПУ,https://www.superjob.ru/vakansii/programmist-stanka-s-chpu-32687720.html,Индеструм,60000,,руб,superjob.ru
27,Программист С#,https://www.superjob.ru/vakansii/programmist-s-32751141.html,"АО ""Почта России""",,,,superjob.ru
28,Программист Битрикс (Bitrix),https://www.superjob.ru/vakansii/programmist-bitriks-25474452.html,МАКСЛЕВЕЛ,130000,,руб,superjob.ru
29,Программист станков с ЧПУ / Технолог-программист / Инженер-технолог по механообработке,https://www.superjob.ru/vakansii/programmist-stankov-s-chpu-32514664.html,НПО Энергомаш,,,,superjob.ru
30,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-29626241.html,МЕДИ РУС,,,,superjob.ru
31,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32807605.html,Центр Внедрения Профальянс,100000,,руб,superjob.ru
32,Ведущий программист 1С 8,https://www.superjob.ru/vakansii/veduschij-programmist-1s-8-32399181.html,Симбат,150000,200000,руб,superjob.ru
33,Web-программист,https://www.superjob.ru/vakansii/web-programmist-32764457.html,Компания SIMPLE,,,,superjob.ru
34,Старший программист 1С (Направление Розница),https://www.superjob.ru/vakansii/starshij-programmist-1s-32764097.html,Компания SIMPLE,,,,superjob.ru
35,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32502911.html,МОСГАЗ,100000,,руб,superjob.ru
36,Программист контроллеров,https://www.superjob.ru/vakansii/programmist-kontrollerov-32041389.html,АО Электронстрой,50000,,руб,superjob.ru
37,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32720292.html,Gipfel International,,,,superjob.ru
38,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32683022.html,Dental Fantasy,,,,superjob.ru
39,Помощник программиста 1С / Стажер / Программист 1С,https://www.superjob.ru/vakansii/pomoschnik-programmista-1s-31354918.html,ФГБОУ ВО Всероссийский государственный университет юстиции (РПА Минюста России),48000,55000,руб,superjob.ru
40,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32719344.html,Морозко,,,,superjob.ru
41,Инженер-программист группы разработки ПО,https://www.superjob.ru/vakansii/inzhener-programmist-gruppy-razrabotki-po-32499770.html,"Концерн ""Международные аэронавигационные системы""",100000,,руб,superjob.ru
42,Программист С++/Qt,https://www.superjob.ru/vakansii/programmist-s-32839708.html,Кадровое агентство уникальных специалистов,70000,,руб,superjob.ru
43,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-30873918.html,Леонардо,,,,superjob.ru
44,Ведущий программист 1С,https://www.superjob.ru/vakansii/veduschij-programmist-1s-32623947.html,Лаэрта,150000,,руб,superjob.ru
45,Программист Python (удалённо),https://www.superjob.ru/vakansii/programmist-python-32671953.html,Статус презенс,50000,,руб,superjob.ru
46,Инженер-программист,https://www.superjob.ru/vakansii/inzhener-programmist-32498502.html,ФГУ НПП Гамма,300000,,руб,superjob.ru
47,Преподаватель (инженер-программист),https://www.superjob.ru/vakansii/prepodavatel-32600793.html,ГАПОУ ПК № 8 им. И. Ф. Павлова,,,,superjob.ru
48,Ведущий программист (начальник отдела программистов / team lead),https://www.superjob.ru/vakansii/veduschij-programmist-32680806.html,Индеструм,,,,superjob.ru
49,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32002546.html,ОфХоРеКа. ру,150000,,руб,superjob.ru
50,Программист Delphi,https://www.superjob.ru/vakansii/programmist-delphi-30280217.html,АНО СОШ Академическая Гимназия,100000,113000,руб,superjob.ru
51,Ведущий программист 1С,https://www.superjob.ru/vakansii/veduschij-programmist-1s-32782732.html,Ортека (гк никамед),,,,superjob.ru
52,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-27772666.html,Репропарк,120000,,руб,superjob.ru
53,Программист Bitrix,https://www.superjob.ru/vakansii/programmist-bitrix-32501108.html,Оптимист Оптика,100000,100000,руб,superjob.ru
54,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32430883.html,Бетховен,158000,,руб,superjob.ru
55,Программист PHP,https://www.superjob.ru/vakansii/programmist-php-32039622.html,Национальное агентство клинической фармакологии и фармации (НАКФФ),,,,superjob.ru
56,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-31844442.html,Инвест Капитал,,,,superjob.ru
57,Помощник программиста 1С,https://www.superjob.ru/vakansii/pomoschnik-programmista-1s-31819093.html,ТрастИнвест,,,,superjob.ru
58,Программист 1 С,https://www.superjob.ru/vakansii/programmist-1-s-32713786.html,Валта Пет Продактс,,,,superjob.ru
59,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32808883.html,"Научно-внедренческое предприятие ""Астрафарм""",,,,superjob.ru
60,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32668857.html,Кадровое агентство уникальных специалистов,170000,,руб,superjob.ru
61,Программист / Разработчик,https://www.superjob.ru/vakansii/programmist-32274027.html,Группа компаний Blesk InCare,,,,superjob.ru
62,Инженер-программист микроконтроллеров,https://www.superjob.ru/vakansii/inzhener-programmist-mikrokontrollerov-32834003.html,Московский институт электромеханики и автоматики,,,,superjob.ru
63,Программист,https://www.superjob.ru/vakansii/programmist-31802291.html,ГосНИИАС,,,,superjob.ru
64,Инженер-программист,https://www.superjob.ru/vakansii/inzhener-programmist-32833943.html,Московский институт электромеханики и автоматики,,,,superjob.ru
65,Программист-разработчик CRM Битрикс (Bitrix),https://www.superjob.ru/vakansii/programmist-razrabotchik-crm-bitriks-32808077.html,Новые технологии,50000,100000,руб,superjob.ru
66,Программист,https://www.superjob.ru/vakansii/programmist-32833565.html,Московский институт электромеханики и автоматики,,,,superjob.ru
67,Программист на python,https://www.superjob.ru/vakansii/programmist-na-python-31035766.html,НТИМИ,,,,superjob.ru
68,Программист 1С (УТ/ Розница),https://www.superjob.ru/vakansii/programmist-1s-32678838.html,АПХ Мираторг,120000,,руб,superjob.ru
69,Программист .NET,https://www.superjob.ru/vakansii/programmist-32465905.html,НИУ МГСУ,53000,60000,руб,superjob.ru
70,Ведущий программист SQL,https://www.superjob.ru/vakansii/veduschij-programmist-sql-32807625.html,Аврора-ИТ,100000,,руб,superjob.ru
71,"Программист-разработчик 1С (м. Новогиреево, Новокосино)",https://www.superjob.ru/vakansii/programmist-razrabotchik-1s-29401189.html,FAVORIT MOTORS,120000,,руб,superjob.ru
